,imgName,gradThrHi,gradThrLo
0,7c956bec0.jpg,0,0
0,18081493b.jpg,0,0
0,8d5ea3ca5.jpg,0,0
0,3b2dcdb9a.jpg,0,0
0,b8c9a80a6.jpg,0,0
0,28ed9e2c9.jpg,0,0
0,8c40a1fa8.jpg,0,0
0,c2489cee0.jpg,0,0
0,ff61e3c0d.jpg,0.6798596176144308,0.07253886010362694
0,2bf2cd1f8.jpg,0.5036426903933401,0.1095890410958904
0,7a911671d.jpg,0,0
0,e5f3008f9.jpg,0.6450893357904015,0.08571428571428572
0,a866f3563.jpg,0,0
0,36e4f1dcd.jpg,0,0
0,745f6ca8b.jpg,0,0
0,817bf33b5.jpg,0,0
0,8cf037217.jpg,0,0
0,715346646.jpg,0,0
0,938e935dc.jpg,0,0
0,ef2575aca.jpg,0,0
0,8c452d977.jpg,0.2610626136397883,0.05714285714285714
0,b515c961c.jpg,0,0
0,915b87719.jpg,0,0
0,d00ca68b7.jpg,0,0
0,88b568b00.jpg,0,0
0,30d59f2a4.jpg,0,0
0,38c9e0c32.jpg,0,0
0,10139fe9c.jpg,0,0
0,55360747d.jpg,0,0
0,66965bf58.jpg,0,0
0,591cc837a.jpg,1.2415807560137457,0.9896907216494846
0,1f54bb314.jpg,0,0
0,1bb9db64b.jpg,0,0
0,3e15d4615.jpg,0,0
0,eaeed95e6.jpg,1.042622950819672,0.22535211267605634
0,dc107dd43.jpg,0.8299757658609334,0.15037593984962405
0,c5d695707.jpg,0,0
0,6fd248fef.jpg,0,0
0,9141426ba.jpg,0,0
0,99cfef5a6.jpg,0,0
0,94dbd89ed.jpg,0,0
0,4a9f14309.jpg,0.5824737046677896,0.05084745762711865
0,4664af011.jpg,0.6465027859718125,0.07079646017699115
0,c436f9bbf.jpg,0,0
0,42da8229b.jpg,0.6943225335550058,0.12571428571428572
0,a6962ac66.jpg,0,0
0,df79d599d.jpg,0,0
0,c6d78dcd2.jpg,0,0
0,55b9678d1.jpg,0,0
0,0f26fbc99.jpg,0,0
0,98f083f27.jpg,0,0
0,93a73c178.jpg,1.2481144492131617,0.20600858369098712
0,fcd9dd0fc.jpg,0,0
0,a8b47e3d1.jpg,0,0
0,8a335ebdc.jpg,0.7372988399439792,0.14634146341463414
0,7f252c548.jpg,1.0313235294117649,0.611764705882353
0,bc983d445.jpg,0,0
0,14dcf28f2.jpg,0,0
0,5f2c73261.jpg,0,0
0,013239316.jpg,0,0
0,c111a1890.jpg,0.525870658402526,0.11764705882352941
0,3ccca337f.jpg,0,0
0,629b3c61a.jpg,0,0
0,bc420c3a6.jpg,0,0
0,29bdd477d.jpg,0,0
0,7bfa9c050.jpg,0,0
0,f999ed541.jpg,0,0
0,12c259999.jpg,0,0
0,015e0504c.jpg,0.9865017282153903,0.16736401673640167
0,b82709380.jpg,0,0
0,33c3637d0.jpg,1.026790019624334,0.3170731707317073
0,b2a0a70e2.jpg,0,0
0,7618b0d6c.jpg,0,0
0,509a38a58.jpg,0,0
0,8ab1880fa.jpg,0,0
0,0cbff85a7.jpg,0,0
0,d4dc00a62.jpg,0.6110797275375388,0.03007518796992481
0,993f75438.jpg,0,0
0,4896eac7e.jpg,0.5285868975242273,0.009009009009009009
0,f283b503e.jpg,0,0
0,7a3b6571d.jpg,0.46706487148102815,0.037209302325581395
0,a39282064.jpg,0,0
